MESS_DATUM,Supply,Return
2018010100,90.82,55.27
2018010101,96.30999999999999,59.1
2018010102,90.47,57.23
2018010103,97.99,58.3
2018010104,93.67999999999999,57.3
2018010105,94.72,56.27
2018010106,97.86,59.53
2018010107,95.98,57.63
2018010108,93.97,56.67
2018010109,93.08,57.7
2018010110,92.41,57.77
2018010111,97.58,59.53
2018010112,94.61,57.53
2018010113,92.58,55.67
2018010114,100.2,57.73
2018010115,94.53999999999999,55.8
2018010116,97.34,59.03
2018010117,95.96,57.0
2018010118,101.09,57.3
2018010119,100.6,57.3
2018010120,102.6,60.6
2018010121,99.25999999999999,56.6
2018010122,99.05,56.53
2018010123,97.94000000000001,59.4
2018010200,101.48,59.87
2018010201,99.84,60.9
2018010202,101.46,60.13
2018010203,109.44,58.13
2018010204,108.6,58.0
2018010205,100.88,59.0
2018010206,97.24,57.67
2018010207,98.45,56.57
2018010208,102.2,60.37
2018010209,102.39999999999999,56.27
2018010210,94.03,60.13
2018010211,98.98,56.03
2018010212,93.02,57.0
2018010213,97.75,57.93
2018010214,99.80000000000001,59.07
2018010215,103.26,56.07
2018010216,95.99000000000001,59.07
2018010217,101.61999999999999,56.1
2018010218,102.7,60.17
2018010219,103.83,59.27
2018010220,94.61999999999999,60.27
2018010221,100.49,58.47
2018010222,105.61,56.47
2018010223,99.19,57.37
2018010300,103.94,58.47
2018010301,101.86,58.57
2018010302,103.71,56.5
2018010303,100.25,59.4
2018010304,95.69000000000001,59.4
2018010305,95.87,60.33
2018010306,95.11,57.17
2018010307,95.11,58.93
2018010308,98.65,58.33
2018010309,96.11999999999999,57.47
2018010310,97.57000000000001,57.4
2018010311,96.06,58.57
2018010312,97.94999999999999,57.77
2018010313,99.92,57.8
2018010314,103.47,60.2
2018010315,102.13,56.0
2018010316,100.85,56.93
2018010317,95.34,59.23
2018010318,98.01,56.23
2018010319,95.36,56.33
2018010320,100.05999999999999,57.27
2018010321,100.16,57.87
2018010322,91.31,58.63
2018010323,92.69,59.63
2018010400,95.25,59.77
2018010401,94.24,55.8
2018010402,99.55,56.77
2018010403,98.32,57.3
2018010404,99.79,59.07
2018010405,98.53,58.1
2018010406,100.03,57.2
2018010407,103.19,60.13
2018010408,103.44,59.17
2018010409,94.52000000000001,60.07
2018010410,101.84,57.07
2018010411,95.66,57.87
2018010412,93.61,57.93
2018010413,96.03,59.87
2018010414,97.1,57.83
2018010415,101.81,58.87
2018010416,96.32,58.93
2018010417,92.32000000000001,57.87
2018010418,101.0,58.9
2018010419,93.71,58.93
2018010420,97.98,60.03
2018010421,102.1,60.1
2018010422,98.15,57.0
2018010423,96.07,59.77
2018010500,97.2,56.37
2018010501,91.0,55.63
2018010502,97.93,56.87
2018010503,96.91,56.97
2018010504,102.05,57.87
2018010505,100.61,56.93
2018010506,93.34,56.97
2018010507,94.10000000000001,56.87
2018010508,96.32,55.8
2018010509,98.83,58.8
2018010510,97.11999999999999,60.13
2018010511,97.8,56.2
2018010512,104.41,57.37
2018010513,104.94000000000001,60.4
2018010514,98.67999999999999,58.27
2018010515,102.78999999999999,56.13
2018010516,100.3,58.67
2018010517,98.83,60.83
2018010518,101.86999999999999,60.6
2018010519,103.01,57.57
2018010520,106.13000000000001,59.7
2018010521,105.85000000000001,57.53
2018010522,103.5,60.47
2018010523,103.59,58.5
2018010600,103.69999999999999,57.6
2018010601,102.22,57.37
2018010602,102.47,59.3
2018010603,103.94,56.2
2018010604,98.33999999999999,56.27
2018010605,95.23,56.23
2018010606,97.0,59.27
2018010607,96.41,57.2
2018010608,98.44,59.3
2018010609,103.1,59.33
2018010610,95.39999999999999,56.3
2018010611,99.3,60.3
2018010612,102.33,60.2
2018010613,98.64,60.5
2018010614,97.22999999999999,56.6
2018010615,99.82000000000001,58.73
2018010616,98.44999999999999,59.77
2018010617,106.08,57.83
2018010618,100.5,59.97
2018010619,100.55,58.93
2018010620,107.15,57.0
2018010621,107.69999999999999,60.1
2018010622,106.29,60.23
2018010623,110.15,59.33
2018010700,103.0,59.57
2018010701,114.65,59.0
2018010702,110.50999999999999,61.97
2018010703,108.43,58.07
2018010704,114.26,59.17
2018010705,112.79,59.2
2018010706,116.47,61.27
2018010707,107.66999999999999,60.27
2018010708,112.61,62.3
2018010709,111.53,58.3
2018010710,112.52,61.17
2018010711,105.42,57.67
2018010712,101.71000000000001,60.4
2018010713,105.84,60.23
2018010714,104.25,57.27
2018010715,111.12,60.53
2018010716,109.39,58.97
2018010717,110.59,61.23
2018010718,114.13,61.47
2018010719,114.07,60.63
2018010720,118.81,61.7
2018010721,117.69,62.8
2018010722,115.37,58.9
2018010723,113.71,62.1
2018010800,118.44000000000001,62.23
2018010801,120.08999999999999,62.27
2018010802,121.56,63.5
2018010803,123.74,59.47
2018010804,117.38000000000001,62.7
2018010805,119.26,61.67
2018010806,118.24,61.5
2018010807,117.78999999999999,63.6
2018010808,118.65,59.67
2018010809,117.38,63.27
2018010810,113.42,58.5
2018010811,106.85000000000001,60.87
2018010812,104.14,60.63
2018010813,105.22,57.53
2018010814,103.36,61.5
2018010815,105.98,60.63
2018010816,112.59,62.13
2018010817,112.81,58.3
2018010818,116.37,61.23
2018010819,111.81,62.2
2018010820,112.08999999999999,61.27
2018010821,112.62,59.2
2018010822,113.67,59.23
2018010823,112.56,59.23
2018010900,111.89,60.17
2018010901,111.45,61.07
2018010902,108.55,58.0
2018010903,112.57,58.97
2018010904,110.45,59.9
2018010905,107.09,57.83
2018010906,105.25999999999999,59.63
2018010907,103.11,60.57
2018010908,105.88000000000001,58.57
2018010909,101.92999999999999,57.47
2018010910,102.06,58.23
2018010911,100.0,57.07
